cuvant,gasit,incercari
ombilicata,True,9
mensurabilul,True,12
mandoloncellourile,True,11
lidoul,True,6
mezencefalici,True,9
kazaniana,True,7
linere,True,8
zoolitelor,True,8
niblickul,True,7
mix,True,6
zoocenoze,True,7
lepralgie,True,8
monkhmeri,True,11
zigogeneză,True,11
multimoleculare,True,10
mancenilierul,True,9
nivoglaciarul,True,10
zoometriilor,True,8
mazdeeană,True,8
lateralității,True,8
videointerfonul,True,11
viscoelasticul,True,11
marsupializaseră,True,11
verticalizatului,True,10
licopodineei,True,8
mitogramele,True,9
negatonicului,True,10
metaistorii,True,8
laramicilor,True,7
operand,True,9
minitestul,True,9
okume,True,9
marcionite,True,10
juvenilizatul,True,10
otopatie,True,6
ultraretrogradei,True,10
vacilațiunea,True,9
xilit,True,4
minicaruselele,True,10
monopilă,True,10
videorecorderului,True,9
mezotrofelor,True,9
velarizare,True,7
odinofagia,True,7
monomolecularii,True,10
vitrenul,True,9
ombrofobelor,True,8
velea,True,6
monoindustriale,True,13
milenaristei,True,9
justițiate,True,10
hidropneumotoraxurilor,True,14
meningism,True,7
lepidosirenului,True,10
zigogeneticului,True,10
monologistul,True,9
limforeticuloza,True,12
moliniști,True,8
valdeză,True,8
jamahiria,True,7
pribolitei,True,8
vermianului,True,10
occidentalist,True,10
iubițelele,True,7
nietzscheenelor,True,11
omofagie,True,8
nefrologul,True,9
zoograficul,True,12
nidifugii,True,7
monogramatice,True,11
xenomorful,True,10
monoindustrii,True,9
presuraților,True,10
necesitoasele,True,9
valetudinariului,True,10
ofertoriul,True,9
justificatorii,True,10
opiofagă,True,7
macromelii,True,9
oncogeneze,True,7
marginați,True,8
macroprelucrărilor,True,11
nefroidul,True,9
nemoralii,True,8
melodului,True,11
viscoplasticului,True,11
vizionezelor,True,8
neurorafiei,True,8
metalogeneticul,True,11
ottocento,True,6
megavolții,True,10
monodimensionalei,True,9
neptunistei,True,7
otopioreei,True,8
minimicroscopul,True,10
microautomobilul,True,10
nefă,True,8
opresase,True,8
jujubierului,True,7
noctiflorelor,True,9
